FILIAL; DATA PROC; IDADE INI; IDADE FIM;SETOR LOJA   ;MERC ;DIGITO;STATUS;DESCRICAO ;EMBALAGEM ;DT VENC   ;TRIBUTACAO;LC;QTDE_IDEAL;DT PRECO IND;PRECO IND;DT ULT ENTR;CUSTO ULT ENTR;QTDE ULT ENTR;QTDE PED COMPRA;QTDE PED FILIAL;QTDE PED NF AT;ESTOQ EMB1;ESTOQ EMB9;CUSTO MEDIO;PRECO VENDA;PERC RENT;QTDE VENDA EMB1;IDADE;NAO VENDE;TP ETIQ;MIX;DT PRECO;EMB.INTERMEDIARIA;PAR;DIREITO DEVOLUCAO;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;41292;148; ;ALIM.ADES ORIGINAL CAL.TP          ;CXA 1 X 6 1L     ;;*; ;135;     ;0;01/03/2023;45,35;10;5;0;0;5;1;45,35;53,89;0,59;4;27;3;C; ;24/02/2023;;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;69489;150; ;BEB.CASTANHA ATDC CHOCONUTS        ;CXA 1 X 12 1L     ;;*; ;85;     ;0;24/02/2023;176,47;1;0;0;0;0;11;174,33;214,8;3,58;1;32;2;C; ;12/02/2023;;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;69488;191; ;BEB.CASTANHA ATDC ORIGINAL         ;CXA 1 X 12 1L     ;;*; ;85;     ;0;17/02/2023;160,06;1;0;0;0;1;6;166,99;226,8;11,11;3;40;0;C; ;05/03/2023;;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;71796;138; ;BEB.LACTEA 3CORACOES CAPPUCINO     ;CXA 1 X 6 260ML  ;;*; ;396;     ;0;08/03/2023;25,15;6;0;0;0;18;4;25,23;33;17,52;26;20,67;0;C; ;05/03/2023;; ; ;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;75262;102; ;BEB.LACTEA 3CORACOES PINGADO       ;CXA 1 X 6 260ML  ;;*; ;396;     ;0;02/03/2023;35,91;4;0;0;0;4;4;35,14;41,34;8,98;3;29,71;3;C; ;12/02/2023;; ; ;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;75264;121; ;BEB.LACTEA 3CORACOES POWER WHEY    ;CXA 1 X 6 260ML  ;;*; ;396;     ;0;14/03/2023;51,92;10;0;0;0;15;1;51,29;59,4;7,65;11;18,14;0;C; ;12/02/2023;; ; ;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;58738;176; ;BEB.LACTEA BETANIA FARINHA LACTEA  ;CXA 1 X 12 1000ML ;;*; ;120;     ;0;09/03/2023;74,51;5;0;0;0;3;11;74,51;82,68;3,87;1;19;0;C; ;09/03/2023;;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;12666;116; ;BEB.LACTEA BOA VIDA CHOCOLATE TP   ;CXA 1 X 12 1L     ;; ; ;75;18/07;14,17;21/03/2023;48,09;75;0;0;0;181;5;46,19;50,16;1,91;216;18,2;0;C;N;07/03/2023;;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;53583;198; ;BEB.LACTEA ITALAC CHOC.ZERO LACT.  ;CXA 1 X 12 1L     ;;*; ;85;     ;0;17/03/2023;75,05;2;17;0;0;0;1;72,11;79,2;2,94;6;11;6;X; ;23/11/2022;S;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;56123;158; ;BEB.LACTEA ITALAC CHOCOLATE C/TAMPA;CXA 1 X 12 1L     ;;*; ;85;     ;0;03/03/2023;61,66;169;85;0;0;107;6;61,63;70,68;6,8;99;25;0;C; ;24/03/2023;;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;23424;100; ;BEB.LACTEA ITALAC CHOCOLATE TP     ;CXA 1 X 24 200ML  ;;*; ;180;     ;0;03/03/2023;24,43;360;1800;0;0;53;22;25,04;28,56;6,29;837;25;0;C; ;24/03/2023;S;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;72758;142; ;BEB.LACTEA ITALAC MORANGO TP       ;CXA 1 X 24 200ML  ;;*; ;180;     ;0;17/03/2023;26,73;60;180;0;0;26;11;25,04;28,56;6,29;133;11;0;C; ;24/03/2023;S; ; ;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;72853;136; ;BEB.LACTEA ITALAC VITAMINA TP      ;CXA 1 X 24 200ML  ;;*; ;180;     ;0;03/03/2023;27,14;60;100;0;0;12;13;25,04;28,56;6,29;68;25;0;C; ;24/03/2023;S; ; ;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;52533;108; ;BEB.LACTEA MARAJOARA CHOKINHO      ;CXA 1 X 12 1L     ;;*; ;85;     ;0;05/01/2023;49,62;17;0;0;0;1;10;50,19;59,88;10,17;3;82;2;C; ;05/11/2022;S;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;65127;197; ;BEB.LACTEA MOCOQUINHA CHOCOLATE TP ;BDJ 1 X 27 200ML  ;;*; ;180;     ;0;09/03/2023;25,99;180;0;0;0;667;6;25,86;26,73;-2,76;195;25,76;0;C; ;26/03/2023;;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;26318;162; ;BEB.LACTEA PIRAKIDS CHOCOLATE TP   ;CXA 9 X 3 200ML  ;25/03/2023;*; ;180;     ;0;07/12/2022;31,95;360;180;0;0;201;13;31,73;37,53;9,44;59;111;0;C; ;10/03/2023;S;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;14595;197; ;BEB.LACTEA TODDYNHO CHOCOLATE      ;BDJ 9 X 3 200ML  ;;*; ;165;07/04;18,21;21/01/2023;53,57;990;0;0;0;422;26;59,26;52,65;-18,57;307;66;0;C;N;22/03/2023;;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;67148;108; ;BEB.LACTEA TODDYNHO LEVINHO        ;CXA 1 X 27 200ML  ;;*; ;165;     ;0;04/03/2023;64,01;165;0;0;0;136;2;59,26;52,65;-18,57;31;24;0;C; ;22/03/2023;S;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;64905;134; ;BEB.LACTEA YOPRO BANANA            ;CXA 1 X 24 250ML  ;;*; ;136;     ;0;14/03/2023;187,96;1;0;0;0;2;18;187,95;227,76;11,47;2;15,9;0;C; ;09/08/2022;S;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;70055;121; ;BEB.LACTEA YOPRO CHOC 25G          ;CXA 1 X 24 250ML  ;;*; ;136;     ;0;17/03/2023;247,33;2;0;0;0;1;19;247,32;287,76;8,05;2;11;2;C; ;09/08/2022;;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;64904;175; ;BEB.LACTEA YOPRO CHOC.             ;CXA 1 X 24 250ML  ;;*; ;136;     ;0;17/03/2023;187,99;3;0;0;0;2;21;187,99;230,16;12,32;3;11;0;C; ;09/08/2022;S;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;64903;115; ;BEB.LACTEA YOPRO COCO BATATA DOCE  ;CXA 1 X 24 250ML  ;;*; ;136;     ;0;14/03/2023;187,96;2;0;0;0;4;11;187,95;227,76;11,47;1;16,68;2;C; ;09/08/2022;S; ; ;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;74687;122; ;BEB.LACTEA YOPRO MORANGO           ;CXA 1 X 24 250ML  ;;*; ;136;     ;0;14/03/2023;187,96;1;0;0;0;0;23;187,95;227,76;11,47;2;14;2;C; ;09/08/2022;; ; ;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;72419;115; ;BEB.MAGUARY FRUIT SHOOT CHOC       ;FDO 1 X 27 200ML  ;;*; ;162;     ;0;14/02/2023;43,55;5;0;0;0;0;22;42,9;53,73;4,89;3;42;2;C; ;16/02/2023;; ; ;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;66869;164; ;BEB.VEG.SILK AMENDOAS C/ACUCAR     ;CXA 1 X 12 1L     ;;*; ;170;     ;0;11/03/2023;173,69;1;0;0;0;0;11;173,54;226,8;8,23;0;17;0;C; ;09/08/2022;;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;66868;104; ;BEB.VEG.SILK AMENDOAS E CACAU      ;CXA 1 X 12 1L     ;;*; ;170;     ;0;25/03/2023;173,69;1;0;0;0;1;10;173,54;226,8;8,23;0;49,36;8;C; ;09/08/2022;;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;66897;180; ;BEBIDA LACTEA CILPINHO CHOCOLATE TP;CXA 1 X 27 200ML  ;;*; ;165;     ;0;09/03/2023;29,01;195;0;0;0;222;9;28,98;33,75;8,11;53;22,31;2;C; ;12/03/2023;;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;78413;147; ;BISC.LACTA WAFER BISAO LEITE       ;CXA 1 X 39 201,6G ;;*; ;90;     ;0;02/02/2023;283,25;27;0;0;0;28;0;282,6;386,1;11,55;11;55,21;0;C; ;28/02/2023;S; ; ;
